****************************************
Report : report_global_slack
Design : s5378_bench
Version: K-2015.06-SP3-2
Date   : Wed Apr 14 01:49:00 2021
****************************************

       Max_Rise      Max_Fall   Point
              *             *   U647/A
              *             *   U647/ZN
              *             *   U661/A
              *             *   U661/ZN
              *             *   U699/A1
              *             *   U699/A2
              *             *   U699/A3
              *             *   U699/ZN
              *             *   U701/A
              *             *   U701/ZN
              *             *   U702/A
              *             *   U702/ZN
              *             *   U704/A
              *             *   U704/ZN
              *             *   U705/A
              *             *   U705/ZN
           0.18          0.14   U723/A
           0.14          0.18   U723/ZN
           0.04          0.11   U730/A1
          -0.14          0.00   U730/A2
           0.11          0.03   U730/A3
           0.05          0.09   U730/A4
           0.00         -0.14   U730/ZN
           0.34          0.32   U732/A1
           0.29          0.27   U732/A2
           0.19          0.15   U732/A3
           0.23          0.11   U732/A4
           0.11          0.19   U732/ZN
              *             *   U738/A1
              *             *   U738/A2
              *             *   U738/ZN
              *             *   U740/A1
              *             *   U740/A2
              *             *   U740/ZN
           0.41          0.35   U763/A
           0.23          0.26   U763/B
           0.23          0.29   U763/ZN
           0.52          0.58   U765/A
           0.38          0.38   U765/B
           0.38          0.42   U765/ZN
           0.27          0.31   U773/A
           0.29          0.32   U773/B
           0.27          0.32   U773/Z
           0.28          0.31   U776/A
           0.28          0.30   U776/B
           0.28          0.32   U776/Z
           0.27          0.31   U789/A
           0.27          0.29   U789/B
           0.27          0.30   U789/Z
           0.29          0.33   U792/A
           0.27          0.30   U792/B
           0.27          0.32   U792/Z
              *             *   U806/A
              *             *   U806/B
              *             *   U806/S
              *             *   U806/Z
              *             *   U809/A1
              *             *   U809/A2
              *             *   U809/B1
              *             *   U809/B2
              *             *   U809/ZN
           0.22          0.25   U813/A
           0.23          0.26   U813/B
           0.22          0.26   U813/Z
           0.22          0.26   U816/A
           0.22          0.25   U816/B
           0.22          0.28   U816/Z
              *             *   U819/A
              *             *   U819/B
              *             *   U819/S
              *             *   U819/Z
              *             *   U841/A1
              *             *   U841/A2
              *             *   U841/ZN
              *             *   U843/A
              *             *   U843/ZN
              *             *   U844/A1
              *             *   U844/A2
              *             *   U844/ZN
              *             *   U845/A1
              *             *   U845/A2
              *             *   U845/ZN
           0.24          0.38   U848/A1
           0.23          0.36   U848/A2
           0.36          0.44   U848/A3
           0.36          0.23   U848/ZN
           0.04          0.10   U852/A1
          -0.09          0.01   U852/A2
           0.08         -0.01   U852/A3
           0.05          0.08   U852/A4
          -0.01         -0.09   U852/ZN
           0.34          0.30   U857/A
           0.16          0.21   U857/B
           0.16          0.23   U857/Z
           0.46          0.52   U862/A
           0.32          0.33   U862/B
           0.32          0.37   U862/ZN
              *             *   U870/A
              *             *   U870/B
              *             *   U870/ZN
              *             *   U873/A1
              *             *   U873/A2
              *             *   U873/ZN
              *             *   U877/B1
              *             *   U877/B2
              *             *   U877/A
              *             *   U877/ZN
              *             *   U889/A
              *             *   U889/ZN
              *             *   U893/A
              *             *   U893/ZN
              *             *   U895/B1
              *             *   U895/B2
              *             *   U895/A
              *             *   U895/ZN
              *             *   U897/A1
              *             *   U897/A2
              *             *   U897/ZN
              *             *   U902/A1
           0.29          0.26   U902/A2
              *             *   U902/A3
           0.29          0.26   U902/ZN
              *             *   U910/A1
              *             *   U910/A2
              *             *   U910/A3
              *             *   U910/ZN
              *             *   U914/A1
              *             *   U914/A2
              *             *   U914/ZN
           0.49          0.48   U916/A
           0.48          0.47   U916/B
           0.47          0.51   U916/ZN
           0.53          0.59   U920/A
           0.43          0.48   U920/B
           0.43          0.48   U920/ZN
           0.54          0.48   U922/A
           0.40          0.41   U922/B
           0.40          0.42   U922/ZN
           0.39          0.36   U926/A
           0.37          0.36   U926/B
           0.33          0.33   U926/S
           0.37          0.33   U926/Z
           0.35          0.44   U931/A1
           0.36          0.45   U931/A2
           0.44          0.35   U931/ZN
           0.47          0.52   U933/B1
           0.44          0.50   U933/B2
           0.42          0.40   U933/A
           0.40          0.42   U933/ZN
           0.45          0.50   U937/A
           0.56          0.61   U937/B
           0.45          0.52   U937/ZN
           0.59          0.60   U939/A
           0.43          0.49   U939/B
           0.45          0.43   U939/ZN
           0.52          0.50   U943/A
           0.50          0.52   U943/ZN
           0.22          0.30   U952/A1
           0.37          0.41   U952/A2
           0.30          0.22   U952/ZN
           0.58          0.54   U959/A
           0.54          0.58   U959/ZN
           0.25          0.44   U969/A1
           0.21          0.39   U969/A2
           0.39          0.21   U969/ZN
           0.63          0.59   U974/A1
           0.61          0.69   U974/A2
           0.41          0.56   U974/A3
           0.56          0.41   U974/ZN
           0.29          0.32   U982/A1
           0.28          0.31   U982/A2
           0.17          0.26   U982/A3
           0.28          0.30   U982/A4
           0.26          0.17   U982/ZN
           0.21          0.19   U989/A1
           0.05          0.15   U989/A2
           0.15          0.05   U989/ZN
              *             *   U996/A1
              *             *   U996/A2
              *             *   U996/ZN
           0.15          0.12   U1000/A1
           0.18          0.05   U1000/A2
           0.05          0.15   U1000/ZN
          -0.14         -0.08   U1003/A1
          -0.02          0.03   U1003/A2
          -0.15         -0.07   U1003/A3
          -0.15         -0.08   U1003/ZN
          -0.20         -0.06   U1004/A1
           0.05         -0.04   U1004/A2
           0.01         -0.07   U1004/A3
          -0.02          0.01   U1004/A4
          -0.20         -0.07   U1004/ZN
           0.07          0.22   U1007/A
           0.22          0.07   U1007/ZN
           0.59          0.63   U1011/A
           0.63          0.59   U1011/ZN
              *             *   U1013/A1
           0.59          0.53   U1013/A2
           0.53          0.59   U1013/ZN
           0.64          0.72   U1017/A1
           0.47          0.63   U1017/A2
           0.46          0.59   U1017/A3
           0.46          0.59   U1017/ZN
           0.43          0.61   U1019/A1
           0.45          0.62   U1019/A2
           0.63          0.59   U1019/A3
           0.59          0.43   U1019/ZN
           0.51          0.64   U1022/A1
           0.51          0.52   U1022/A2
           0.40          0.55   U1022/A3
           0.52          0.40   U1022/ZN
           0.21          0.42   U1027/A1
           0.34          0.47   U1027/A2
           0.34          0.35   U1027/A3
           0.34          0.34   U1027/A4
           0.34          0.21   U1027/ZN
           0.17          0.19   U1032/A1
           0.12          0.23   U1032/A2
           0.19          0.12   U1032/ZN
           0.10          0.15   U1036/A
           0.15          0.10   U1036/ZN
           0.05          0.15   U1039/A
           0.02          0.11   U1039/B
          -0.04          0.08   U1039/S
          -0.03         -0.04   U1039/Z
          -0.14          0.04   U1044/A
           0.11          0.05   U1044/B
          -0.14         -0.05   U1044/Z
           0.09          0.20   U1049/A1
          -0.01          0.09   U1049/A2
           0.28          0.18   U1049/A3
           0.26          0.28   U1049/A4
           0.09         -0.01   U1049/ZN
           0.36          0.57   U1052/A
           0.57          0.36   U1052/ZN
           0.09          0.24   U1054/A
           0.24          0.09   U1054/ZN
           0.41          0.59   U1056/A1
           0.45          0.62   U1056/A2
           0.59          0.41   U1056/ZN
           0.43          0.56   U1060/A1
           0.59          0.55   U1060/A2
           0.43          0.55   U1060/A3
           0.55          0.43   U1060/ZN
           0.54          0.36   U1064/A1
           0.51          0.32   U1064/A2
           0.32          0.51   U1064/ZN
           0.59          0.56   U1066/A1
           0.58          0.66   U1066/A2
           0.60          0.55   U1066/A3
           0.46          0.60   U1066/A4
           0.55          0.46   U1066/ZN
          -0.12         -0.01   U1071/A
          -0.01         -0.12   U1071/ZN
           0.28          0.31   U1074/A
           0.27          0.29   U1074/B
           0.27          0.29   U1074/Z
           0.28          0.32   U1077/A
           0.33          0.39   U1077/B
           0.28          0.32   U1077/Z
              *             *   n402gat_reg/D
           0.69          0.77   n402gat_reg/SI
              *             *   n402gat_reg/SE
          -0.08             *   n402gat_reg/CK
              *             *   n402gat_reg/SN
          -0.08         -0.06   n402gat_reg/Q
           0.01         -0.07   n402gat_reg/QN
              *             *   n919gat_reg/D
           0.74          0.80   n919gat_reg/SI
              *             *   n919gat_reg/SE
          -0.15             *   n919gat_reg/CK
              *             *   n919gat_reg/SN
          -0.06         -0.08   n919gat_reg/Q
          -0.02         -0.15   n919gat_reg/QN
              *             *   n337gat_reg/D
           0.73          0.79   n337gat_reg/SI
              *             *   n337gat_reg/SE
           0.32             *   n337gat_reg/CK
              *             *   n337gat_reg/SN
           0.72          0.79   n337gat_reg/Q
           0.39          0.32   n337gat_reg/QN
              *             *   n842gat_reg/D
           0.72          0.79   n842gat_reg/SI
              *             *   n842gat_reg/SE
           0.33             *   n842gat_reg/CK
              *             *   n842gat_reg/SN
           0.74          0.80   n842gat_reg/Q
           0.40          0.33   n842gat_reg/QN
              *             *   n341gat_reg/D
           0.72          0.79   n341gat_reg/SI
              *             *   n341gat_reg/SE
           0.30             *   n341gat_reg/CK
              *             *   n341gat_reg/SN
           0.71          0.79   n341gat_reg/Q
           0.36          0.30   n341gat_reg/QN
           0.51          0.69   n2472gat_reg/D
           0.74          0.80   n2472gat_reg/SI
              *             *   n2472gat_reg/SE
           0.61             *   n2472gat_reg/CK
              *             *   n2472gat_reg/SN
           0.61          0.66   n2472gat_reg/Q
           0.75          0.70   n2472gat_reg/QN
           0.75          0.70   n2319gat_reg/D
           0.74          0.80   n2319gat_reg/SI
              *             *   n2319gat_reg/SE
           0.61             *   n2319gat_reg/CK
              *             *   n2319gat_reg/SN
           0.74          0.80   n2319gat_reg/Q
           0.75          0.61   n2319gat_reg/QN
           0.61          0.75   n1821gat_reg/D
           0.73          0.79   n1821gat_reg/SI
              *             *   n1821gat_reg/SE
           0.55             *   n1821gat_reg/CK
              *             *   n1821gat_reg/SN
           0.74          0.80   n1821gat_reg/Q
           0.63          0.55   n1821gat_reg/QN
           0.73          0.68   n2029gat_reg/D
           0.74          0.80   n2029gat_reg/SI
              *             *   n2029gat_reg/SE
           0.70             *   n2029gat_reg/CK
              *             *   n2029gat_reg/SN
           0.74          0.80   n2029gat_reg/Q
           0.75          0.70   n2029gat_reg/QN
           0.75          0.70   n1363gat_reg/D
           0.72          0.79   n1363gat_reg/SI
              *             *   n1363gat_reg/SE
           0.70             *   n1363gat_reg/CK
              *             *   n1363gat_reg/SN
           0.74          0.80   n1363gat_reg/Q
           0.75          0.70   n1363gat_reg/QN
           0.67          0.71   n2044gat_reg/D
           0.72          0.79   n2044gat_reg/SI
              *             *   n2044gat_reg/SE
           0.70             *   n2044gat_reg/CK
              *             *   n2044gat_reg/SN
           0.74          0.80   n2044gat_reg/Q
           0.75          0.70   n2044gat_reg/QN
           0.75          0.70   n2110gat_reg/D
           0.73          0.80   n2110gat_reg/SI
              *             *   n2110gat_reg/SE
           0.69             *   n2110gat_reg/CK
              *             *   n2110gat_reg/SN
           0.74          0.80   n2110gat_reg/Q
           0.74          0.69   n2110gat_reg/QN
           0.74          0.69   n2125gat_reg/D
           0.74          0.80   n2125gat_reg/SI
              *             *   n2125gat_reg/SE
           0.67             *   n2125gat_reg/CK
              *             *   n2125gat_reg/SN
           0.72          0.67   n2125gat_reg/Q
           0.75          0.70   n2125gat_reg/QN
           0.75          0.70   n2121gat_reg/D
           0.74          0.80   n2121gat_reg/SI
              *             *   n2121gat_reg/SE
           0.70             *   n2121gat_reg/CK
              *             *   n2121gat_reg/SN
           0.74          0.80   n2121gat_reg/Q
           0.75          0.70   n2121gat_reg/QN
           0.73          0.68   n2440gat_reg/D
           0.72          0.79   n2440gat_reg/SI
              *             *   n2440gat_reg/SE
           0.05             *   n2440gat_reg/CK
              *             *   n2440gat_reg/SN
           0.16          0.17   n2440gat_reg/Q
           0.11          0.05   n2440gat_reg/QN
           0.71          0.66   n2394gat_reg/D
           0.74          0.80   n2394gat_reg/SI
              *             *   n2394gat_reg/SE
           0.02             *   n2394gat_reg/CK
              *             *   n2394gat_reg/SN
           0.58          0.53   n2394gat_reg/Q
           0.11          0.02   n2394gat_reg/QN
           0.63          0.62   n2403gat_reg/D
           0.74          0.80   n2403gat_reg/SI
              *             *   n2403gat_reg/SE
           0.21             *   n2403gat_reg/CK
              *             *   n2403gat_reg/SN
           0.37          0.41   n2403gat_reg/Q
           0.32          0.21   n2403gat_reg/QN
           0.71          0.67   n2347gat_reg/D
           0.69          0.77   n2347gat_reg/SI
              *             *   n2347gat_reg/SE
           0.19             *   n2347gat_reg/CK
              *             *   n2347gat_reg/SN
           0.44          0.38   n2347gat_reg/Q
           0.20          0.19   n2347gat_reg/QN
           0.70          0.66   n2407gat_reg/D
           0.69          0.77   n2407gat_reg/SI
              *             *   n2407gat_reg/SE
           0.33             *   n2407gat_reg/CK
              *             *   n2407gat_reg/SN
           0.42          0.33   n2407gat_reg/Q
           0.52          0.37   n2407gat_reg/QN
           0.73          0.68   n2592gat_reg/D
           0.74          0.80   n2592gat_reg/SI
              *             *   n2592gat_reg/SE
           0.70             *   n2592gat_reg/CK
              *             *   n2592gat_reg/SN
           0.72          0.79   n2592gat_reg/Q
           0.75          0.70   n2592gat_reg/QN
           0.67          0.69   n2102gat_reg/D
           0.74          0.80   n2102gat_reg/SI
              *             *   n2102gat_reg/SE
           0.08             *   n2102gat_reg/CK
              *             *   n2102gat_reg/SN
           0.10          0.08   n2102gat_reg/Q
              *             *   n2102gat_reg/QN
           0.73          0.68   n331gat_reg/D
           0.71          0.78   n331gat_reg/SI
              *             *   n331gat_reg/SE
           0.37             *   n331gat_reg/CK
              *             *   n331gat_reg/SN
           0.46          0.51   n331gat_reg/Q
           0.49          0.37   n331gat_reg/QN
           0.72          0.67   n152gat_reg/D
           0.72          0.79   n152gat_reg/SI
              *             *   n152gat_reg/SE
           0.46             *   n152gat_reg/CK
              *             *   n152gat_reg/SN
           0.47          0.46   n152gat_reg/Q
              *             *   n152gat_reg/QN
           0.75          0.70   n2458gat_reg/D
           0.70          0.78   n2458gat_reg/SI
              *             *   n2458gat_reg/SE
           0.70             *   n2458gat_reg/CK
              *             *   n2458gat_reg/SN
           0.74          0.80   n2458gat_reg/Q
           0.75          0.70   n2458gat_reg/QN
              *             *   n3107gat
              *             *   n3111gat
              *             *   n3114gat
              *             *   U537/A
              *             *   U537/ZN
              *             *   U538/A
              *             *   U538/ZN
              *             *   U540/A
              *             *   U540/ZN
              *             *   U541/A
              *             *   U541/ZN
              *             *   U543/A
              *             *   U543/ZN
              *             *   U544/A
              *             *   U544/ZN
              *             *   U545/A
              *             *   U545/ZN
              *             *   U546/A
              *             *   U546/ZN
              *             *   U547/A
              *             *   U547/ZN
              *             *   U548/A
              *             *   U548/ZN
           0.60          0.46   U551/A
           0.46          0.60   U551/ZN
           0.57          0.59   U558/A1
           0.73          0.57   U558/A2
           0.57          0.39   U558/A3
           0.39          0.57   U558/ZN
           0.40          0.35   U561/A1
           0.58          0.46   U561/A2
           0.42          0.45   U561/A3
           0.40          0.35   U561/ZN
              *             *   U570/A1
              *             *   U570/A2
              *             *   U570/A3
              *             *   U570/A4
              *             *   U570/ZN
              *             *   U578/C1
              *             *   U578/C2
              *             *   U578/A
              *             *   U578/B
              *             *   U578/ZN
              *             *   U624/A1
              *             *   U624/A2
              *             *   U624/A3
              *             *   U624/ZN
              *             *   U625/B1
              *             *   U625/B2
              *             *   U625/A
              *             *   U625/ZN
           0.29          0.35   U628/A
           0.59          0.47   U628/B
           0.32          0.29   U628/ZN
           0.17          0.33   U633/A1
           0.39          0.47   U633/A2
           0.33          0.17   U633/ZN
           0.40          0.45   U638/A1
           0.24          0.28   U638/A2
           0.24          0.28   U638/ZN
           0.06          0.23   U655/A1
           0.41          0.36   U655/A2
           0.23          0.06   U655/ZN
           0.12          0.19   U694/A1
           0.41          0.30   U694/A2
           0.12          0.19   U694/ZN
           0.31          0.26   U698/A1
              *             *   U698/A2
              *             *   U698/A3
           0.26          0.31   U698/ZN
           0.36          0.33   U708/A1
              *             *   U708/A2
              *             *   U708/A3
              *             *   U708/A4
           0.33          0.36   U708/ZN
           0.58          0.49   U710/A
           0.22          0.35   U710/B
